DATE,CPALTT01INM659N
1960-01-01,4.2986425336571
1960-02-01,3.36322869984727
1960-03-01,3.3936651586506
1960-04-01,4.2986425336571
1960-05-01,3.34075723619735
1960-06-01,2.40700218898845
1960-07-01,1.70940170832754
1960-08-01,0.847457626590618
1960-09-01,0.854700854163775
1960-10-01,-0.840336133934592
1960-11-01,-1.6806722678692
1960-12-01,0
1961-01-01,0.650759218688605
1961-02-01,0.650759218688605
1961-03-01,2.40700218898845
1961-04-01,1.51843817921843
1961-05-01,0.862068967253969
1961-06-01,0.854700854163775
1961-07-01,0.840336133934604
1961-08-01,1.47058823659211
1961-09-01,2.33050847534947
1961-10-01,2.33050847534947
1961-11-01,3.20512820535841
1961-12-01,3.20512820535841
1962-01-01,3.44827586222508
1962-02-01,3.44827586222508
1962-03-01,2.56410256249131
1962-04-01,3.20512820535841
1962-05-01,4.05982905952217
1962-06-01,4.02542372853068
1962-07-01,3.74999999989058
1962-08-01,3.93374741170211
1962-09-01,3.93374741170211
1962-10-01,4.76190476107635
1962-11-01,3.93374741170211
1962-12-01,2.48447204812266
1963-01-01,2.29166666745074
1963-02-01,1.45833333462799
1963-03-01,2.29166666745074
1963-04-01,2.48447204812266
1963-05-01,2.25872689797127
1963-06-01,3.0549898169446
1963-07-01,2.40963855485213
1963-08-01,2.39043824551151
1963-09-01,2.98804780898166
1963-10-01,2.96442687770007
1963-11-01,3.78486055748551
1963-12-01,6.86868686870403
1964-01-01,7.73930753511877
1964-02-01,10.0616016428876
1964-03-01,9.97963340144856
1964-04-01,9.89898989926425
1964-05-01,11.4457831339658
1964-06-01,11.8577075087246
1964-07-01,14.117647058339
1964-08-01,14.5914396899881
1964-09-01,16.0541586073972
1964-10-01,18.2341650658629
1964-11-01,18.2341650658629
1964-12-01,17.0132325156189
1965-01-01,17.7693761824503
1965-02-01,14.1791044765591
1965-03-01,11.1111111119755
1965-04-01,11.0294117656144
1965-05-01,9.54954954926312
1965-06-01,8.83392226164148
1965-07-01,8.93470790551652
1965-08-01,8.99830220686431
1965-09-01,8.33333333158282
1965-10-01,5.51948051950264
1965-11-01,6.00649350792176
1965-12-01,5.49273020996133
1966-01-01,4.81540931015937
1966-02-01,7.35294117707631
1966-03-01,9.4999999992648
1966-04-01,9.43708609202427
1966-05-01,12.335526315028
1966-06-01,13.4740259742806
1966-07-01,11.9873817025502
1966-08-01,11.6822429899356
1966-09-01,10.9230769244492
1966-10-01,11.5384615394559
1966-11-01,12.2511485439248
1966-12-01,13.9356814694383
1967-01-01,13.9356814694383
1967-02-01,13.850837137866
1967-03-01,14.9162861494548
1967-04-01,15.4311649016353
1967-05-01,13.909224012384
1967-06-01,14.0200286126816
1967-07-01,13.2394366203684
1967-08-01,13.2496513256026
1967-09-01,12.0665742022218
1967-10-01,12.965517240546
1967-11-01,11.3233287859994
1967-12-01,8.602150537938
1968-01-01,11.6935483868918
1968-02-01,9.49197860937787
1968-03-01,6.49006622527613
1968-04-01,5.89777195329412
1968-05-01,2.95629820002826
1968-06-01,1.38017565918317
1968-07-01,0
1968-08-01,1.23152709412492
1968-09-01,2.35148514834753
1968-10-01,1.46520146558198
1968-11-01,-0.367647058596383
1968-12-01,-2.22772277218713
1969-01-01,-5.5354993986788
1969-02-01,-4.6398046395134
1969-03-01,-2.36318408073288
1969-04-01,-2.22772277218713
1969-05-01,-0.249687889983438
1969-06-01,1.73267326754553
1969-07-01,2.86069651692547
1969-08-01,0.608272505701873
1969-09-01,0
1969-10-01,-1.08303249030399
1969-11-01,0.615006149680128
1969-12-01,3.54430379658313
1970-01-01,4.20382165613959
1970-02-01,4.73751600488058
1970-03-01,5.35031847205855
1970-04-01,5.82278480914712
1970-05-01,5.75719649600615
1970-06-01,4.01459854018795
1970-07-01,3.86940749710911
1970-08-01,4.47400241813552
1970-09-01,4.95767835495665
1970-10-01,6.2043795619925
1970-11-01,6.72371638241014
1970-12-01,5.01222493963817
1971-01-01,3.91198044025475
1971-02-01,3.91198044025475
1971-03-01,2.78113663799152
1971-04-01,1.67464114855076
1971-05-01,0.591715975963604
1971-06-01,1.0526315782879
1971-07-01,2.21187427225322
1971-08-01,3.70370370383876
1971-09-01,4.26267281205945
1971-10-01,3.6655211914074
1971-11-01,4.23825887718882
1971-12-01,4.88940628577598
1972-01-01,5.41176470624578
1972-02-01,4.82352941249159
1972-03-01,5.41176470624578
1972-04-01,6.00000000000001
1972-05-01,6.47058823623906
1972-06-01,7.40740740767756
1972-07-01,7.85876993155931
1972-08-01,6.69642857195714
1972-09-01,6.18784530347113
1972-10-01,6.62983425347038
1972-11-01,6.59340659275975
1972-12-01,7.65815760259515
1973-01-01,8.2589285709864
1973-02-01,10.4377104370833
1973-03-01,11.3839285713894
1973-04-01,13.3185349610857
1973-05-01,16.3535911592566
1973-06-01,15.9482758623275
1973-07-01,18.4794086585364
1973-08-01,19.3514644351131
1973-09-01,19.2507804370743
1973-10-01,21.5544041447664
1973-11-01,23.2989690729441
1973-12-01,23.8144329901517
1974-01-01,25.670103093182
1974-02-01,25.3048780491255
1974-03-01,27.2545090179517
1974-04-01,28.0117531833523
1974-05-01,28.9648622982373
1974-06-01,29.1821561331686
1974-07-01,28.074866310601
1974-08-01,29.973707273969
1974-09-01,34.6422338563833
1974-10-01,31.8840579719099
1974-11-01,27.8428093638737
1974-12-01,25.3955037468507
1975-01-01,23.5438884331836
1975-02-01,21.7356042174694
1975-03-01,16.7716535436555
1975-04-01,14.1545524101806
1975-05-01,11.1929307805949
1975-06-01,8.99280575586862
