DATE,PRMNTO01INQ657S
1994-07-01,3.22608312740498
1994-10-01,3.33592083279137
1995-01-01,3.57719494908314
1995-04-01,1.93258301256909
1995-07-01,5.20328468043947
1995-10-01,2.60204308021902
1996-01-01,3.51398070715455
1996-04-01,2.20376585094945
1996-07-01,-0.590750738405125
1996-10-01,0.197451435721808
1997-01-01,2.28849559314695
1997-04-01,2.77174323074188
1997-07-01,1.76288314783125
1997-10-01,1.61484657173974
1998-01-01,-0.300135094202604
1998-04-01,1.48725429268401
1998-07-01,1.21464589903216
1998-10-01,0.823478827644496
1999-01-01,1.85039343499218
1999-04-01,2.54429445901717
1999-07-01,1.37216581438382
1999-10-01,1.32805533278815
2000-01-01,1.16944564069435
2000-04-01,2.65790533996424
2000-07-01,0.476314022798863
2000-10-01,1.28498820930268
2001-01-01,0.382792433312416
2001-04-01,0.744810916839394
2001-07-01,-0.207029846523202
2001-10-01,1.7226059600828
2002-01-01,1.2728147152117
2002-04-01,1.50871689063304
2002-07-01,1.87817485897631
2002-10-01,1.14654321755358
2003-01-01,2.3403767425344
2003-04-01,0.688913124836341
2003-07-01,2.88705459455302
2003-10-01,1.79875346706868
2004-01-01,1.32075120609163
2004-04-01,5.2749366303879
2004-07-01,4.02073796617745
2004-10-01,2.91936190521381
2005-01-01,2.12158896027778
2005-04-01,2.19886757083965
2005-07-01,1.94402951530341
2005-10-01,3.86287594137728
2006-01-01,5.55088811457657
2006-04-01,0.19647527793689
2006-07-01,4.46773838889265
2006-10-01,5.57188960727887
2007-01-01,5.20729743827003
2007-04-01,5.78437996615101
2007-07-01,0.655704478528198
2007-10-01,4.35492968193303
2008-01-01,3.5511632400463
2008-04-01,1.19718047111181
2008-07-01,-0.968384201592528
2008-10-01,-2.85371831298594
2009-01-01,-4.14243326350037
2009-04-01,4.25291571443392
2009-07-01,5.09228677408691
2009-10-01,0.948282711978838
2010-01-01,4.29647108549627
2010-04-01,-0.365702551244651
2010-07-01,2.57025975336474
2010-10-01,2.40483490676938
2011-01-01,3.90299686942333
2011-04-01,-1.28160059635438
2011-07-01,-1.57670720887808
2011-10-01,0.269258320503893
2012-01-01,1.93157527300503
2012-04-01,-2.86372714957073
2012-07-01,-0.0465414948961636
2012-10-01,0.455085766734666
2013-01-01,0.95095922237196
2013-04-01,0.94973353990808
2013-07-01,2.49045380976267
2013-10-01,-1.3963304359231
2014-01-01,2.07705987930589
2014-04-01,1.62758915303551
2014-07-01,1.43980292293004
2014-10-01,-1.52917473522334
2015-01-01,1.25162678748072
2015-04-01,0.352405323072987
2015-07-01,1.23459365401809
2015-10-01,0.573408079642893
2016-01-01,1.60114987830088
2016-04-01,3.48643250463346
2016-07-01,-0.184134917508808
2016-10-01,-2.28718917061675
2017-01-01,2.32821310253758
2017-04-01,2.80024227141339
2017-07-01,-0.36398287616587
2017-10-01,1.11764554922136
2018-01-01,3.84453342708707
2018-04-01,1.87241961476261
2018-07-01,-1.58066811025383
2018-10-01,-1.770247287617
2019-01-01,3.05317817584085
2019-04-01,4.35436637407183
2019-07-01,-6.3416207252716
2019-10-01,-2.49338008480017
2020-01-01,-2.59811083352174
2020-04-01,-32.2019998092454
2020-07-01,44.8280218854315
2020-10-01,5.80481569155055
2021-01-01,3.76143428348874
2021-04-01,-2.50472710509888
2021-07-01,0.965148440334586
2021-10-01,-0.927346456770133
2022-01-01,3.66351847031915
2022-04-01,9.30609669089051
2022-07-01,-9.79212177679238
2022-10-01,-0.679994145596941
2023-01-01,5.95342176604235
